timestamp,step,qed,logp,l2_distance
2026-04-28T18:21:40Z,35,0.7946,0.829,0.0668
2026-04-28T18:21:40Z,36,0.7987,0.8326,0.0664
2026-04-28T18:21:40Z,37,0.8025,0.8359,0.066
2026-04-28T18:21:40Z,38,0.8064,0.8393,0.0655
2026-04-28T18:21:40Z,39,0.8107,0.843,0.0651
2026-04-28T18:21:40Z,40,0.8157,0.8473,0.0647
2026-04-28T18:21:40Z,41,0.8216,0.8525,0.0642
2026-04-28T18:21:40Z,42,0.8284,0.8584,0.0637
2026-04-28T18:21:40Z,43,0.8353,0.8646,0.0633
2026-04-28T18:21:40Z,44,0.8422,0.8708,0.0628
2026-04-28T18:21:40Z,45,0.8487,0.8768,0.0623
2026-04-28T18:21:40Z,46,0.8548,0.8823,0.0618
2026-04-28T18:21:40Z,47,0.8603,0.8873,0.0613
2026-04-28T18:21:40Z,48,0.8658,0.8922,0.0608
2026-04-28T18:21:40Z,49,0.8715,0.8971,0.0603
2026-04-28T18:21:40Z,50,0.8775,0.9024,0.0598
2026-04-28T18:21:40Z,51,0.8837,0.9078,0.0593
2026-04-28T18:21:40Z,52,0.8895,0.9129,0.0589
2026-04-28T18:21:40Z,53,0.8946,0.9174,0.0584
2026-04-28T18:21:40Z,54,0.8986,0.9211,0.058
2026-04-28T18:21:40Z,55,0.9018,0.9241,0.0576
2026-04-28T18:21:40Z,56,0.905,0.927,0.0571
2026-04-28T18:21:40Z,57,0.9083,0.9301,0.0567
2026-04-28T18:21:40Z,58,0.9117,0.9332,0.0563
2026-04-28T18:21:40Z,59,0.915,0.9362,0.0559
2026-04-28T18:21:40Z,60,0.9179,0.9389,0.0555
2026-04-28T18:21:40Z,61,0.9203,0.941,0.0551
2026-04-28T18:21:40Z,62,0.9222,0.9428,0.0547
2026-04-28T18:21:40Z,63,0.924,0.9445,0.0543
2026-04-28T18:21:40Z,64,0.9264,0.9465,0.0539
2026-04-28T18:21:40Z,65,0.9295,0.9493,0.0535
2026-04-28T18:21:40Z,66,0.9335,0.9528,0.0531
2026-04-28T18:21:40Z,67,0.9383,0.957,0.0527
2026-04-28T18:21:40Z,68,0.9438,0.9617,0.0523
2026-04-28T18:21:40Z,69,0.9497,0.9669,0.0519
2026-04-28T18:21:40Z,70,0.9556,0.972,0.0515
2026-04-28T18:21:40Z,71,0.9611,0.9768,0.0512
2026-04-28T18:21:40Z,72,0.9661,0.9812,0.0508
2026-04-28T18:21:40Z,73,0.9704,0.9849,0.0505
2026-04-28T18:21:40Z,74,0.9741,0.988,0.0502
2026-04-28T18:21:49Z,0,2.9629,2.7084,0.0216
2026-04-28T18:21:49Z,1,3.0711,2.8031,0.029
2026-04-28T18:21:49Z,2,3.2247,2.9362,0.037
2026-04-28T18:21:49Z,3,3.4172,3.1039,0.0446
2026-04-28T18:21:49Z,4,3.6283,3.2872,0.0514
2026-04-28T18:21:49Z,5,3.83,3.4618,0.0573
